Language,ID,Psychoticism,Extraversion,Neuroticism,Lie
UK-English,110,0,2,11,3
UK-English,111,0,11,11,4
UK-English,112,0,10,0,8
UK-English,113,2,9,8,1
UK-English,114,1,11,4,4
UK-English,116,1,4,3,4
UK-English,117,0,8,2,4
UK-English,118,0,2,7,7
UK-English,119,0,10,5,2
UK-English,120,1,9,7,2
UK-English,123,0,7,4,5
UK-English,124,1,5,8,5
UK-English,125,1,9,11,4
UK-English,126,3,4,2,2
UK-English,127,2,8,11,2
UK-English,128,0,7,2,4
UK-English,129,2,9,10,2
UK-English,130,0,10,5,5
UK-English,131,0,11,9,4
UK-English,132,0,0,6,1
UK-English,133,0,11,4,5
UK-English,134,0,10,7,1
UK-English,135,2,12,1,3
UK-English,136,0,4,7,5
UK-English,137,1,8,3,2
UK-English,138,0,6,8,5
UK-English,139,0,8,8,6
UK-English,140,0,10,10,2
UK-English,141,0,9,2,5
UK-English,142,0,12,5,4
UK-English,143,0,12,4,2
UK-English,144,3,12,5,0
UK-English,145,1,2,9,2
UK-English,146,1,8,4,5
UK-English,147,3,12,8,3
UK-English,148,0,8,8,1
UK-English,149,1,12,8,1
UK-English,150,0,10,7,5
UK-English,151,1,12,9,0
UK-English,153,0,4,5,3
UK-English,154,0,8,3,3
UK-English,155,0,9,11,2
UK-English,156,1,6,7,9
UK-English,157,1,11,7,4
UK-English,158,0,8,5,1
UK-English,159,1,3,8,2
UK-English,160,0,4,2,1
UK-English,161,2,10,2,4
UK-English,162,3,8,10,3
UK-English,163,0,7,5,1
UK-English,164,0,11,5,1
UK-English,165,0,12,3,1
UK-English,167,0,11,5,2
UK-English,168,0,2,0,4
UK-English,169,4,4,8,2
UK-English,170,1,7,3,1
UK-English,171,1,6,5,2
UK-English,172,0,9,7,1
UK-English,173,2,10,3,0
UK-English,174,3,10,6,2
UK-English,175,0,12,4,1
UK-English,176,0,8,5,4
UK-English,177,0,6,6,2
UK-English,178,0,4,7,3
UK-English,179,1,9,1,4
UK-English,180,0,7,5,1
UK-English,181,2,11,8,1
UK-English,182,1,7,1,2
UK-English,183,0,5,10,1
UK-English,184,0,7,5,10
UK-English,185,0,6,12,8
UK-English,186,0,8,10,7
UK-English,188,1,10,10,4
UK-English,189,0,12,3,0
UK-English,190,2,11,10,3
UK-English,191,4,5,12,1
UK-English,192,2,9,12,1
UK-English,193,0,9,6,5
UK-English,194,0,8,11,8
UK-English,195,0,12,9,1
UK-English,196,0,12,9,1
UK-English,197,0,10,6,2
UK-English,198,1,10,5,10
UK-English,199,1,10,7,0
UK-English,201,1,4,2,0
UK-English,202,0,10,4,6
UK-English,203,1,4,12,2
UK-English,204,0,8,10,0
UK-English,205,1,11,7,1
UK-English,206,4,3,8,0
UK-English,207,0,7,2,4
UK-English,208,0,5,4,3
UK-English,209,0,7,9,2
UK-English,210,1,4,10,6
UK-English,211,1,8,9,7
UK-English,213,3,12,8,2
UK-English,214,1,12,3,6
UK-English,215,1,7,8,8
UK-English,216,3,5,10,1
UK-English,217,2,1,11,3
UK-English,218,2,12,2,4
UK-English,220,1,11,9,8
UK-English,221,1,3,9,1
UK-English,222,1,11,2,9
UK-English,224,0,9,5,6
UK-English,225,0,9,10,8
UK-English,226,0,7,10,4
UK-English,228,0,8,9,3
UK-English,229,0,8,5,3
UK-English,230,0,10,6,1
UK-English,231,0,5,11,4
UK-English,232,1,6,10,3
UK-English,233,0,8,10,7
UK-English,234,1,4,10,4
UK-English,235,1,12,7,5
UK-English,236,0,10,4,8
UK-English,237,1,4,5,3
UK-English,239,3,10,5,2
UK-English,240,1,5,7,2
UK-English,241,0,10,1,3
UK-English,242,1,8,8,6
UK-English,243,2,12,6,1
UK-English,244,2,7,9,0
UK-English,245,0,11,3,3
UK-English,246,1,5,5,2
UK-English,247,2,12,9,1
UK-English,248,1,12,8,4
UK-English,250,1,12,4,3
UK-English,251,0,11,1,4
UK-English,252,0,9,6,3
UK-English,253,0,12,1,7
UK-English,254,0,12,5,4
UK-English,255,0,12,4,0
UK-English,256,0,0,12,0
UK-English,257,1,8,7,5
UK-English,258,0,7,6,5
UK-English,259,1,8,6,3
UK-English,260,4,11,2,0
UK-English,261,1,4,11,9
UK-English,262,1,12,1,7
UK-English,263,1,12,6,8
UK-English,264,1,8,3,1
UK-English,265,1,7,7,2
UK-English,266,0,4,3,7
UK-English,267,3,9,7,0
UK-English,268,0,3,9,5
UK-English,269,1,5,6,1
UK-English,270,0,3,10,0
UK-English,271,0,6,6,2
UK-English,272,2,10,6,4
UK-English,273,0,7,5,1
UK-English,274,3,9,5,2
UK-English,275,1,8,5,3
UK-English,276,0,9,8,1
UK-English,277,1,6,4,8
UK-English,278,0,5,11,2
UK-English,279,0,6,10,1
UK-English,280,0,5,10,8
UK-English,281,0,7,5,6
UK-English,282,0,9,11,0
UK-English,283,0,8,9,0
UK-English,284,2,6,5,0
UK-English,285,1,9,8,1
UK-English,286,1,9,1,5
UK-English,287,0,12,10,0
UK-English,288,0,4,6,3
UK-English,289,1,1,12,2
UK-English,290,0,4,2,2
UK-English,291,1,8,2,0
UK-English,292,1,12,6,1
UK-English,293,0,1,8,3
UK-English,294,1,12,8,1
UK-English,295,2,7,11,0
UK-English,297,0,10,8,5
UK-English,298,0,7,9,4
UK-English,299,0,11,11,4
UK-English,300,0,9,9,6
UK-English,301,0,9,9,5
UK-English,303,0,3,11,0
UK-English,304,0,12,8,2
UK-English,305,0,9,4,6
UK-English,306,0,6,9,5
UK-English,308,1,8,10,1
UK-English,309,3,12,9,0
UK-English,310,0,5,9,1
UK-English,311,0,7,8,4
UK-English,312,1,2,10,3
UK-English,313,0,6,9,3
UK-English,314,2,5,10,2
UK-English,315,0,3,4,4
UK-English,316,0,12,3,4
UK-English,317,0,8,6,5
UK-English,318,0,3,6,8
UK-English,319,0,12,5,0
UK-English,320,0,5,8,2
UK-English,321,0,1,9,3
UK-English,322,0,9,8,4
UK-English,323,3,5,10,2
UK-English,324,0,8,9,2
UK-English,325,3,12,9,1
UK-English,326,0,6,10,2
UK-English,327,2,5,12,3
UK-English,328,2,9,7,3
UK-English,329,0,5,5,2
UK-English,330,2,8,8,2
UK-English,331,0,5,8,6
UK-English,332,1,1,7,8
UK-English,333,0,9,6,3
UK-English,334,0,4,7,7
UK-English,335,0,5,8,1
UK-English,336,0,8,9,6
UK-English,337,1,12,1,3
UK-English,338,3,5,9,3
UK-English,339,2,7,8,3
UK-English,340,1,6,9,3
UK-English,341,0,12,5,6
UK-English,342,2,2,9,8
UK-English,344,1,12,2,4
UK-English,345,2,11,1,1
UK-English,346,3,11,5,0
UK-English,348,2,4,10,2
UK-English,349,4,9,11,1
UK-English,350,0,7,10,4
UK-English,351,3,8,6,6
UK-English,352,4,9,4,2
UK-English,354,3,12,4,7
UK-English,355,1,10,7,7
UK-English,356,1,10,8,3
UK-English,357,0,9,11,0
UK-English,358,3,8,1,9
UK-English,359,5,10,5,0
UK-English,360,4,12,3,3
UK-English,361,0,9,2,4
UK-English,362,1,6,10,5
UK-English,363,1,5,9,2
UK-English,364,0,8,5,8
UK-English,365,0,10,9,1
UK-English,366,0,9,7,2
UK-English,367,2,12,5,2
UK-English,369,1,6,3,8
UK-English,370,0,3,7,11
UK-English,371,0,12,1,11
UK-English,372,0,7,3,1
UK-English,374,2,8,6,7
UK-English,375,0,4,7,8
UK-English,376,3,9,11,10
UK-English,377,0,7,5,6
UK-English,379,0,6,6,4
UK-English,380,0,7,3,6
UK-English,381,0,10,0,11
UK-English,383,0,12,8,7
UK-English,384,0,5,2,9
UK-English,385,1,11,7,5
UK-English,386,1,2,0,5
UK-English,387,1,9,2,10
UK-English,389,0,4,12,3
UK-English,390,1,4,4,9
UK-English,392,2,10,0,5
UK-English,393,0,5,2,5
UK-English,395,1,5,7,7
UK-English,396,0,11,12,6
UK-English,397,1,12,10,6
UK-English,398,0,6,3,8
UK-English,400,1,3,11,6
UK-English,402,1,4,10,7
UK-English,403,1,12,3,8
UK-English,404,1,8,6,3
UK-English,405,0,4,5,2
UK-English,406,0,11,10,5
UK-English,407,0,0,12,1
UK-English,409,3,4,6,4
UK-English,410,1,12,5,4
UK-English,411,3,10,5,1
UK-English,412,0,9,5,3
UK-English,414,0,10,6,1
UK-English,416,0,6,5,0
UK-English,417,0,5,6,3
UK-English,418,2,4,2,6
UK-English,419,2,8,4,7
UK-English,420,1,11,7,5
UK-English,421,0,9,6,10
UK-English,422,0,8,5,8
UK-English,423,0,5,7,8
UK-English,424,0,0,12,6
UK-English,427,1,11,8,5
UK-English,428,2,12,10,5
UK-English,429,0,4,8,3
UK-English,430,2,9,11,2
UK-English,431,1,10,3,2
UK-English,432,0,11,6,1
UK-English,434,1,12,10,6
UK-English,436,0,10,0,9
UK-English,437,0,12,4,9
UK-English,438,0,10,8,6
UK-English,439,0,11,4,4
UK-English,440,0,5,6,3
UK-English,441,0,11,7,8
UK-English,442,1,8,10,10
UK-English,443,1,4,3,6
UK-English,445,1,8,5,3
UK-English,446,2,12,10,6
UK-English,447,1,6,5,7
UK-English,448,1,5,10,10
UK-English,449,0,9,3,2
UK-English,451,1,8,7,4
UK-English,452,1,9,9,4
UK-English,453,0,12,5,2
UK-English,454,1,11,11,1
UK-English,455,0,4,7,9
UK-English,456,0,7,12,2
UK-English,457,0,5,8,7
UK-English,458,0,11,2,5
UK-English,459,1,9,6,6
UK-English,461,1,12,6,6
UK-English,462,0,8,9,7
UK-English,463,0,12,6,3
UK-English,464,4,12,12,3
UK-English,465,1,11,4,4
UK-English,466,1,5,9,4
UK-English,467,0,5,8,5
UK-English,468,0,10,5,6
UK-English,470,0,9,7,7
UK-English,471,0,12,11,2
UK-English,472,0,7,8,3
UK-English,474,0,0,10,2
UK-English,475,1,6,9,4
UK-English,476,1,11,9,9
UK-English,477,0,2,7,10
UK-English,478,0,6,3,2
UK-English,480,2,11,12,4
UK-English,482,1,6,5,4
UK-English,483,0,10,11,6
UK-English,484,1,7,7,5
UK-English,485,0,11,2,5
UK-English,486,0,8,5,5
UK-English,487,4,10,11,3
UK-English,488,1,12,8,4
UK-English,489,1,12,8,2
UK-English,490,0,7,5,4
UK-English,491,1,4,5,5
UK-English,494,0,3,10,6
UK-English,495,0,11,4,8
UK-English,496,0,11,5,10
UK-English,497,0,7,10,5
UK-English,498,3,4,8,10
UK-English,499,0,7,3,5
UK-English,500,0,9,2,8
UK-English,502,2,7,8,8
UK-English,504,0,2,12,8
UK-English,505,1,12,3,11
UK-English,506,1,7,2,5
UK-English,507,0,12,8,8
UK-English,508,0,9,3,8
UK-English,509,0,7,5,9
UK-English,510,0,7,4,4
UK-English,511,1,8,6,2
UK-English,512,1,5,5,8
UK-English,513,1,1,9,9
UK-English,514,2,10,1,1
UK-English,515,2,9,5,5
UK-English,517,0,4,3,1
UK-English,518,0,2,8,7
UK-English,519,0,2,11,11
UK-English,520,0,5,7,5
UK-English,522,0,7,1,8
UK-English,523,2,4,5,12
UK-English,524,0,6,2,5
UK-English,525,0,9,9,6
UK-English,526,0,6,6,11
UK-English,527,0,10,11,6
UK-English,529,0,3,10,2
UK-English,530,0,0,10,3
UK-English,531,0,8,2,3
UK-English,532,1,6,9,6
UK-English,533,0,8,7,12
UK-English,534,0,6,3,1
UK-English,535,0,11,12,1
UK-English,536,0,7,10,11
UK-English,538,0,12,3,5
UK-English,539,1,5,12,7
UK-English,540,0,10,4,8
UK-English,541,0,5,9,9
UK-English,542,0,12,0,7
UK-English,544,1,7,4,4
UK-English,545,0,3,7,5
UK-English,546,0,12,2,9
UK-English,547,0,4,1,4
UK-English,548,0,0,10,3
UK-English,549,0,3,2,5
UK-English,550,2,10,9,4
UK-English,551,2,9,1,5
UK-English,552,1,9,0,9
UK-English,554,0,7,6,5
UK-English,555,1,3,7,9
UK-English,556,0,8,2,5
UK-English,557,0,9,6,6
UK-English,558,0,2,6,10
UK-English,559,0,8,4,9
UK-English,560,0,1,8,8
UK-English,562,1,7,11,11
UK-English,563,0,6,8,6
UK-English,564,1,7,7,10
UK-English,565,1,12,3,2
UK-English,566,1,3,5,0
UK-English,567,0,1,5,6
UK-English,568,0,5,11,7
UK-English,569,0,12,7,5
UK-English,570,0,8,8,7
UK-English,572,0,11,7,11
UK-English,573,1,0,2,2
UK-English,574,1,5,10,2
UK-English,575,0,11,12,0
UK-English,576,0,8,4,4
UK-English,577,2,7,4,1
UK-English,578,4,6,4,4
UK-English,579,0,7,4,8
UK-English,580,0,7,0,2
UK-English,581,2,3,9,0
UK-English,582,0,9,6,0
UK-English,583,2,6,3,3
UK-English,584,3,11,6,2
UK-English,585,1,7,6,4
UK-English,586,3,11,6,1
UK-English,587,2,7,3,5
UK-English,589,0,8,6,1
UK-English,590,0,7,4,7
UK-English,591,3,12,9,0
UK-English,592,0,11,3,4
UK-English,593,2,12,6,1
UK-English,594,0,4,6,3
UK-English,595,3,10,11,0
UK-English,596,2,9,4,3
UK-English,598,1,10,7,1
UK-English,599,0,6,10,5
UK-English,600,0,12,1,3
UK-English,601,2,4,3,2
UK-English,602,0,7,8,0
UK-English,603,0,2,3,2
UK-English,604,1,11,2,1
UK-English,605,0,9,6,3
UK-English,606,0,4,10,1
UK-English,607,0,6,6,6
UK-English,608,2,10,1,3
UK-English,609,0,6,10,2
UK-English,610,0,7,10,4
UK-English,611,1,7,7,2
UK-English,613,0,12,11,4
UK-English,614,0,4,9,1
UK-English,615,1,11,2,0
UK-English,616,0,7,5,4
UK-English,617,1,11,3,4
UK-English,618,1,12,6,4
UK-English,619,2,6,6,3
UK-English,621,0,2,10,9
UK-English,622,0,11,8,3
UK-English,623,2,4,4,2
UK-English,624,0,9,4,1
UK-English,625,0,7,6,3
UK-English,626,0,8,4,5
UK-English,627,0,9,8,2
UK-English,628,0,3,4,2
UK-English,629,1,7,7,4
UK-English,630,2,3,6,3
UK-English,632,0,11,1,5
UK-English,633,0,4,11,4
UK-English,634,0,4,8,5
UK-English,635,0,12,4,1
UK-English,636,1,7,8,4
UK-English,637,0,12,9,0
UK-English,638,0,12,0,3
UK-English,640,1,11,9,1
UK-English,641,0,12,5,5
UK-English,642,2,10,3,5
UK-English,643,1,9,8,3
UK-English,644,1,12,5,1
UK-English,645,0,7,3,1
UK-English,646,0,2,6,3
UK-English,647,1,2,9,1
UK-English,648,0,5,4,2
UK-English,649,3,12,1,5
UK-English,650,1,9,10,1
UK-English,652,0,10,8,0
UK-English,653,1,12,1,4
UK-English,654,0,10,7,6
UK-English,655,0,11,7,6
UK-English,656,0,12,5,3
UK-English,657,0,12,11,4
UK-English,658,0,9,8,6
UK-English,659,0,10,3,2
UK-English,660,0,10,5,1
UK-English,661,0,12,1,10
UK-English,662,0,8,3,6
UK-English,663,0,10,7,2
UK-English,664,0,5,9,2
UK-English,666,0,9,6,4
UK-English,667,0,4,9,7
UK-English,668,1,7,10,3
UK-English,669,1,11,7,9
UK-English,670,0,12,2,7
UK-English,671,0,12,0,9
UK-English,672,0,9,3,3
UK-English,673,0,11,1,12
UK-English,674,1,5,7,6
UK-English,675,2,7,7,5
UK-English,676,0,8,2,2
UK-English,678,1,5,6,1
UK-English,679,0,10,6,8
UK-English,680,3,4,7,4
UK-English,681,1,8,12,0
UK-English,682,2,7,11,2
UK-English,683,0,1,8,9
UK-English,684,0,12,6,4
UK-English,685,1,10,4,8
UK-English,686,0,12,1,7
UK-English,687,0,8,9,3
UK-English,688,1,5,4,6
UK-English,689,0,11,4,9
UK-English,690,1,4,11,4
UK-English,691,0,1,12,2
UK-English,692,0,1,8,2
UK-English,693,1,9,3,4
UK-English,695,0,8,7,4
UK-English,696,0,2,1,2
UK-English,698,1,12,11,6
UK-English,700,0,10,7,6
UK-English,701,0,7,6,3
UK-English,702,3,8,8,5
UK-English,703,0,9,7,1
UK-English,705,4,2,2,3
UK-English,706,0,12,3,8
UK-English,707,2,6,4,0
UK-English,708,1,9,2,0
UK-English,709,0,1,9,5
UK-English,710,0,1,7,5
UK-English,711,0,7,5,10
UK-English,713,1,3,11,1
UK-English,714,1,6,7,10
UK-English,715,2,9,5,5
UK-English,716,1,7,6,2
UK-English,717,0,4,2,6
UK-English,718,2,11,12,1
UK-English,719,2,11,4,3
UK-English,720,1,9,9,2
UK-English,721,0,2,8,3
UK-English,722,0,9,5,7
UK-English,723,1,7,9,1
UK-English,725,0,10,8,2
UK-English,726,1,7,5,4
UK-English,727,3,4,12,1
UK-English,728,0,8,3,2
UK-English,729,0,9,11,7
UK-English,730,0,12,6,1
UK-English,731,0,10,6,3
UK-English,732,1,8,10,3
UK-English,733,1,10,6,7
UK-English,734,0,9,4,2
UK-English,735,0,4,11,0
UK-English,736,4,12,2,0
UK-English,738,0,10,11,7
UK-English,739,2,5,9,0
UK-English,740,2,9,12,0
UK-English,741,1,0,12,2
UK-English,742,2,2,12,0
UK-English,743,0,6,2,3
UK-English,744,0,11,10,1
UK-English,745,1,11,9,4
UK-English,746,0,7,6,4
UK-English,747,0,7,10,6
UK-English,748,0,8,2,4
UK-English,750,1,9,7,6
UK-English,751,1,4,9,0
UK-English,752,0,10,3,10
UK-English,753,1,4,5,5
UK-English,754,0,10,9,9
UK-English,756,0,3,9,6
UK-English,757,0,4,5,6
UK-English,758,0,8,6,5
UK-English,760,0,10,4,3
UK-English,761,2,12,10,0
UK-English,762,1,8,9,0
UK-English,763,0,4,10,3
UK-English,764,0,4,11,3
UK-English,765,1,10,7,4
UK-English,767,0,6,5,6
UK-English,768,0,4,9,1
UK-English,769,1,7,11,0
UK-English,771,0,1,9,5
UK-English,772,1,7,7,4
UK-English,773,0,7,11,3
UK-English,774,6,2,9,0
UK-English,776,0,6,6,6
UK-English,777,1,2,2,1
UK-English,778,0,3,7,2
UK-English,780,1,12,7,5
UK-English,781,0,7,12,3
UK-English,782,2,10,11,4
UK-English,785,6,12,1,4
UK-English,787,2,10,4,1
UK-English,789,1,10,10,5
UK-English,791,1,3,2,3
UK-English,792,0,11,10,3
UK-English,794,2,12,5,8
UK-English,795,1,11,11,1
UK-English,796,4,7,7,4
UK-English,797,0,8,5,7
UK-English,798,1,8,1,2
UK-English,799,2,12,4,8
UK-English,800,3,11,10,2
UK-English,801,0,6,6,5
UK-English,802,2,5,3,2
UK-English,803,3,9,6,3
UK-English,804,0,10,3,8
UK-English,805,0,7,6,1
UK-English,806,1,12,5,2
UK-English,807,0,4,11,10
UK-English,808,0,12,4,7
UK-English,809,0,3,9,2
UK-English,810,1,11,9,2
UK-English,811,1,4,8,5
UK-English,812,1,3,8,1
UK-English,814,0,6,3,6
UK-English,816,1,1,6,2
UK-English,817,0,9,4,5
UK-English,818,1,12,8,8
UK-English,819,0,10,8,1
UK-English,820,1,8,7,0
UK-English,821,1,6,2,5
UK-English,822,0,8,1,2
UK-English,824,2,4,0,1
UK-English,825,2,4,11,1
UK-English,826,0,0,12,6
UK-English,827,0,2,1,6
UK-English,828,0,9,7,5
UK-English,829,0,11,4,3
UK-English,830,1,9,8,4
UK-English,831,0,12,5,2
UK-English,832,1,6,8,11
UK-English,833,0,12,5,5
UK-English,834,0,5,11,4
UK-English,835,0,2,9,5
UK-English,836,1,12,8,0
UK-English,837,0,12,11,6
UK-English,838,1,9,6,1
UK-English,839,0,10,6,4
UK-English,840,0,11,12,1
UK-English,841,0,12,8,4
UK-English,842,6,1,9,1
UK-English,843,0,6,7,3
UK-English,844,1,8,7,6
UK-English,845,4,9,2,1
UK-English,846,0,11,2,7
UK-English,848,1,9,10,3
UK-English,849,2,11,10,4
UK-English,850,0,5,11,4
UK-English,851,0,7,7,6
UK-English,852,0,0,8,5
UK-English,853,0,7,7,3
UK-English,854,1,7,12,4
UK-English,855,0,6,5,6
UK-English,856,0,2,8,3
UK-English,857,0,6,2,0
UK-English,858,2,6,0,5
UK-English,859,0,12,3,2
UK-English,861,0,10,5,10
UK-English,862,1,10,8,0
UK-English,863,1,4,9,1
UK-English,864,2,5,12,3
UK-English,865,2,9,2,0
UK-English,866,2,5,11,2
UK-English,867,0,6,6,2
UK-English,870,3,7,7,2
UK-English,871,0,12,7,1
UK-English,872,3,6,0,3
UK-English,874,1,5,6,6
UK-English,875,7,12,4,0
UK-English,876,3,6,2,5
UK-English,877,0,12,6,3
UK-English,878,1,8,8,0
UK-English,879,0,10,1,4
UK-English,880,1,12,4,1
UK-English,881,1,10,6,2
UK-English,882,1,5,0,7
UK-English,883,1,6,8,3
UK-English,884,1,11,7,6
UK-English,887,0,12,2,9
UK-English,889,2,11,6,5
UK-English,890,1,12,3,9
UK-English,891,3,10,6,2
UK-English,892,5,12,3,7
UK-English,893,1,5,12,0
UK-English,894,0,7,5,2
UK-English,895,1,9,4,3
UK-English,896,1,11,7,2
UK-English,897,0,10,6,0
UK-English,899,0,0,10,2
UK-English,900,4,11,3,1
UK-English,901,3,10,8,4
UK-English,902,0,11,5,1
UK-English,903,1,3,11,3
UK-English,904,0,12,5,11
UK-English,905,2,8,7,1
UK-English,906,0,7,1,3
UK-English,908,0,2,5,4
UK-English,909,0,10,4,5
UK-English,910,0,11,5,7
UK-English,912,1,5,2,4
UK-English,913,0,8,6,6
UK-English,914,2,8,8,2
UK-English,915,0,5,6,7
UK-English,916,0,6,6,2
UK-English,917,0,7,2,6
UK-English,918,1,9,7,5
UK-English,919,0,10,10,5
UK-English,920,3,5,11,5
UK-English,921,1,8,10,2
UK-English,922,0,11,7,1
UK-English,924,1,7,7,4
UK-English,926,0,7,9,3
UK-English,927,0,7,2,6
UK-English,928,0,9,3,4
UK-English,930,1,12,10,3
UK-English,931,0,4,11,1
UK-English,933,1,10,7,6
UK-English,934,2,11,9,4
UK-English,936,2,10,5,4
UK-English,937,0,12,2,4
UK-English,938,2,10,4,0
UK-English,939,0,6,11,1
UK-English,940,7,7,10,2
UK-English,941,2,5,7,1
UK-English,942,4,3,10,2
UK-English,944,1,12,6,2
UK-English,945,0,3,11,2
UK-English,946,1,4,11,0
UK-English,947,0,12,4,2
UK-English,948,0,6,6,4
UK-English,949,2,7,1,0
UK-English,950,0,4,4,5
UK-English,951,0,2,12,1
UK-English,952,0,9,4,7
UK-English,953,2,4,1,2
UK-English,954,1,6,5,4
UK-English,955,0,5,5,1
UK-English,956,0,10,5,3
UK-English,957,3,10,2,2
UK-English,958,1,7,6,2
UK-English,959,4,4,0,2
UK-English,960,0,12,12,1
UK-English,961,3,11,8,1
UK-English,962,0,11,11,6
UK-English,963,2,11,9,5
UK-English,964,0,10,4,5
UK-English,965,4,9,5,3
UK-English,966,2,0,12,2
UK-English,967,0,8,6,7
UK-English,968,1,12,3,0
UK-English,969,0,5,8,3
UK-English,971,1,10,4,2
UK-English,972,0,9,4,1
UK-English,973,0,12,0,7
UK-English,974,2,12,1,2
UK-English,975,1,11,6,3
UK-English,977,1,11,1,3
UK-English,978,0,10,2,4
UK-English,979,1,9,4,4
UK-English,982,0,12,2,1
UK-English,983,0,8,12,2
UK-English,984,0,8,7,1
UK-English,985,0,10,3,7
UK-English,986,0,9,7,3
UK-English,987,3,10,5,4
UK-English,988,0,7,11,5
UK-English,989,1,12,10,3
UK-English,990,1,9,3,5
UK-English,991,1,8,9,6
UK-English,992,0,2,10,3
UK-English,993,0,7,5,0
UK-English,994,0,7,7,5
UK-English,996,0,3,11,8
UK-English,998,0,8,11,2
UK-English,999,0,3,10,4
UK-English,1000,0,5,11,8
UK-English,1001,0,4,3,2
UK-English,1004,1,8,9,0
UK-English,1005,2,12,9,4
UK-English,1007,1,12,5,1
UK-English,1008,2,8,4,5
UK-English,1009,0,1,12,7
UK-English,1010,0,10,5,4
UK-English,1013,0,11,7,3
UK-English,1014,0,11,12,5
UK-English,1015,0,10,10,1
UK-English,1016,0,9,7,0
UK-English,1021,1,12,0,4
UK-English,1022,1,8,9,3
UK-English,1023,1,10,2,4
UK-English,1024,0,12,9,0
UK-English,1025,0,10,8,1
UK-English,1026,4,11,4,0
UK-English,1028,1,10,1,6
UK-English,1029,0,3,9,1
UK-English,1030,0,3,8,5
UK-English,1031,0,4,10,6
UK-English,1033,0,3,10,0
UK-English,1034,1,9,9,6
UK-English,1035,0,10,1,6
UK-English,1036,0,4,10,9
UK-English,1037,0,5,9,3
UK-English,1038,0,4,5,3
UK-English,1039,2,9,9,4
UK-English,1040,1,3,10,1
UK-English,1041,2,11,9,3
UK-English,1042,0,4,9,2
UK-English,1043,1,3,7,3
UK-English,1044,2,10,11,2
UK-English,1047,0,7,0,2
UK-English,1048,1,9,8,4
UK-English,1049,0,4,9,3
UK-English,1050,1,12,5,5
UK-English,1051,0,7,9,4
UK-English,1052,0,11,6,4
UK-English,1053,0,10,7,8
UK-English,1055,0,11,4,5
UK-English,1056,1,1,6,8
UK-English,1058,0,5,9,8
UK-English,1059,1,8,11,6
UK-English,1060,2,3,2,7
UK-English,1061,1,7,11,9
UK-English,1062,1,7,0,11
UK-English,1063,0,9,7,11
